Navn;Stasjon;Tid(norsk normaltid);Lufttemperatur
Kjevik;SN39040;18.03.2022 01:50;Kjevik;42.80F
Kjevik;SN39040;18.03.2022 03:20;Kjevik;39.20F
Kjevik;SN39040;18.03.2022 03:50;Kjevik;37.40F
Kjevik;SN39040;18.03.2022 04:20;Kjevik;41.00F
Kjevik;SN39040;18.03.2022 04:50;Kjevik;41.00F
Kjevik;SN39040;18.03.2022 05:20;Kjevik;41.00F
Kjevik;SN39040;18.03.2022 05:50;Kjevik;41.00F
Kjevik;SN39040;18.03.2022 06:20;Kjevik;39.20F
Kjevik;SN39040;18.03.2022 06:50;Kjevik;39.20F
Kjevik;SN39040;18.03.2022 07:20;Kjevik;39.20F
Kjevik;SN39040;18.03.2022 07:50;Kjevik;41.00F
Kjevik;SN39040;18.03.2022 08:20;Kjevik;41.00F
Kjevik;SN39040;18.03.2022 08:50;Kjevik;42.80F
Kjevik;SN39040;18.03.2022 09:20;Kjevik;44.60F
Kjevik;SN39040;18.03.2022 09:50;Kjevik;44.60F
Kjevik;SN39040;18.03.2022 10:20;Kjevik;44.60F
Kjevik;SN39040;18.03.2022 10:50;Kjevik;46.40F
Kjevik;SN39040;18.03.2022 11:20;Kjevik;48.20F
Kjevik;SN39040;18.03.2022 11:50;Kjevik;48.20F
Kjevik;SN39040;18.03.2022 12:20;Kjevik;48.20F
Kjevik;SN39040;18.03.2022 12:50;Kjevik;50.00F
Kjevik;SN39040;18.03.2022 13:20;Kjevik;50.00F
Kjevik;SN39040;18.03.2022 13:50;Kjevik;50.00F
Kjevik;SN39040;18.03.2022 14:20;Kjevik;51.80F
Kjevik;SN39040;18.03.2022 14:50;Kjevik;51.80F
Kjevik;SN39040;18.03.2022 15:20;Kjevik;51.80F
Kjevik;SN39040;18.03.2022 15:50;Kjevik;51.80F
Kjevik;SN39040;18.03.2022 16:20;Kjevik;51.80F
Kjevik;SN39040;18.03.2022 16:50;Kjevik;50.00F
Kjevik;SN39040;18.03.2022 17:20;Kjevik;50.00F
Kjevik;SN39040;18.03.2022 17:50;Kjevik;50.00F
Kjevik;SN39040;18.03.2022 18:20;Kjevik;46.40F
Kjevik;SN39040;18.03.2022 18:50;Kjevik;44.60F
Kjevik;SN39040;18.03.2022 19:20;Kjevik;44.60F
Kjevik;SN39040;18.03.2022 19:50;Kjevik;39.20F
Kjevik;SN39040;18.03.2022 20:20;Kjevik;39.20F
Kjevik;SN39040;18.03.2022 20:50;Kjevik;33.80F
Kjevik;SN39040;18.03.2022 21:20;Kjevik;33.80F
Kjevik;SN39040;18.03.2022 21:50;Kjevik;33.80F
Kjevik;SN39040;18.03.2022 22:20;Kjevik;30.20F
Kjevik;SN39040;18.03.2022 22:50;Kjevik;30.20F
Kjevik;SN39040;18.03.2022 23:20;Kjevik;30.20F
Kjevik;SN39040;18.03.2022 23:50;Kjevik;30.20F
Kjevik;SN39040;19.03.2022 00:20;Kjevik;30.20F
Kjevik;SN39040;19.03.2022 00:50;Kjevik;30.20F
Kjevik;SN39040;19.03.2022 01:20;Kjevik;28.40F
Kjevik;SN39040;19.03.2022 01:50;Kjevik;28.40F
Kjevik;SN39040;19.03.2022 02:20;Kjevik;30.20F
Kjevik;SN39040;19.03.2022 02:50;Kjevik;28.40F
Kjevik;SN39040;19.03.2022 03:20;Kjevik;28.40F
Kjevik;SN39040;19.03.2022 03:50;Kjevik;28.40F
Kjevik;SN39040;19.03.2022 04:20;Kjevik;28.40F
Kjevik;SN39040;19.03.2022 04:50;Kjevik;26.60F
Kjevik;SN39040;19.03.2022 05:20;Kjevik;28.40F
Kjevik;SN39040;19.03.2022 05:50;Kjevik;28.40F
Kjevik;SN39040;19.03.2022 06:20;Kjevik;32.00F
Kjevik;SN39040;19.03.2022 06:50;Kjevik;30.20F
Kjevik;SN39040;19.03.2022 07:20;Kjevik;32.00F
Kjevik;SN39040;19.03.2022 07:50;Kjevik;33.80F
Kjevik;SN39040;19.03.2022 08:20;Kjevik;35.60F
Kjevik;SN39040;19.03.2022 08:50;Kjevik;35.60F
Kjevik;SN39040;19.03.2022 09:20;Kjevik;39.20F
Kjevik;SN39040;19.03.2022 09:50;Kjevik;42.80F
Kjevik;SN39040;19.03.2022 10:20;Kjevik;44.60F
Kjevik;SN39040;19.03.2022 10:50;Kjevik;44.60F
Kjevik;SN39040;19.03.2022 11:20;Kjevik;48.20F
Kjevik;SN39040;19.03.2022 11:50;Kjevik;48.20F
Kjevik;SN39040;19.03.2022 12:20;Kjevik;50.00F
Kjevik;SN39040;19.03.2022 12:50;Kjevik;48.20F
Kjevik;SN39040;19.03.2022 13:20;Kjevik;48.20F
Kjevik;SN39040;19.03.2022 13:50;Kjevik;48.20F
Kjevik;SN39040;19.03.2022 14:20;Kjevik;48.20F
